filename,test-release,line_number,EP_prediction_result
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,489,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,752,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,882,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,932,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1078,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1082,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1123,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1124,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1125,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1137,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1138,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1139,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1151,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1152,True
wicket-extensions_src_main_java_org_apache_wicket_extensions_ajax_markup_html_modal_ModalWindow.java,wicket-1.5.3,1153,True
